,Recency,T,Frequency,Monetary,expctd_num_of_purch,conditional_probability_alive,expct_avg_spend,cltv_half_year,Period
267022,0,503,1,575.705,0.13486178873971388,0.1798842602966966,784.2577228115765,102.24648630002308,2014-12-02
267023,859,1389,5,2997.8650000000002,0.2189460874955373,0.28404531195124294,3164.3225104405547,669.5661125718271,2014-12-02
267024,715,1272,8,2643.0218750000004,0.14392546912152873,0.13980341188120082,2732.926007055488,380.1494169738527,2014-12-02
267025,1290,1290,8,3087.9224999999997,0.906191766168833,0.8867506692364656,3192.8944106313565,2796.3503713959617,2014-12-02
267028,735,1336,4,4490.1675,0.16034547320906578,0.2241952319681004,4805.782215723812,744.7333232946145,2014-12-02
267030,457,1358,3,1115.6816666666666,0.040531811031192765,0.06356900095300995,1223.5760908383486,47.92962204435849,2014-12-02
267032,759,1122,5,2322.489,0.3792977842853864,0.4405309899911929,2451.589865618948,898.7359813681596,2014-12-02
267033,467,1023,2,2796.2025,0.16346328283099887,0.25024794540892387,3219.58787104614,508.66748511451397,2014-12-02
267034,612,1235,2,4710.0625,0.14401047389241026,0.24189348420505072,5422.0424597931315,754.6498944578723,2014-12-02
267037,276,1136,4,2605.86625,0.025888436710555972,0.033296327019959826,2789.372709030846,69.7933369580459,2014-12-02
267042,767,1265,5,1659.489,0.23492961784263044,0.28995490966962595,1751.917766644858,397.7767999949911,2014-12-02
267043,870,1346,3,3489.59,0.25005425099593975,0.3903087217812774,3824.707397270955,924.2950792332969,2014-12-02
267044,0,1197,1,5337.15,0.008495831324040191,0.01606857867562824,7236.660091500082,59.42037425851842,2014-12-02
267045,1146,1421,9,2898.660555555556,0.6100872295036398,0.5868038155510401,2985.942804261906,1760.5477386119082,2014-12-02
267046,808,1196,2,2342.6,0.2865570893078032,0.473485209066775,2697.585787512284,747.1007800750372,2014-12-02
267048,690,1321,5,3533.79,0.12857439324601208,0.16235367041406876,3729.8907904446105,463.4819139373273,2014-12-02
267049,202,639,5,2236.9620000000004,0.1913162944281052,0.17516566625349375,2361.3321648512906,436.703520059022,2014-12-02
267051,723,1379,4,1396.99625,0.12943866996827866,0.1840996136824677,1495.74890001627,187.1106652383313,2014-12-02
267053,880,1258,6,2019.0191666666667,0.3826435994525559,0.4314562602635755,2111.760237800148,780.9592458197712,2014-12-02
